id,image_id,question,relevant_articles,question_type,choices,answer,file_name
train_1,train_1_3,Biển báo cấm xe khách trên 29 chỗ được áp dụng trong các khoảng thời gian nào? ,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '22'}]",Multiple choice,"{'A': 'Từ 6:30 đến 8:00 và từ 16:30 đến 18:30; ngoài các khoảng thời gian này không được phép lưu thông.', 'B': 'Từ 6:30 đến 8:00 và từ 16:30 đến 18:30; ngoài các khoảng thời gian này được phép lưu thông.', 'C': 'Cấm lưu thông cả ngày.', 'D': 'D. Không cấm xe khách trên 29 chỗ lưu thông.'}",B,train_1_3.jpg
train_2,train_1_3,Những loại phương tiện nào bị cấm trên đoạn đường này,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '26'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '14'}]",Multiple choice,"{'A': 'Xe khách trên 29 chỗ', 'B': 'ô tô con', 'C': 'Xe máy', 'D': 'Xe đạp'}",A,train_1_3.jpg
train_3,train_1_3,Thời gian cấm xe khách trên 29 chỗ có bị thay đổi theo mùa không?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '26'}]",Multiple choice,"{'A': 'Thời gian cấm xe khách thay đổi vào mùa hè và mùa đông', 'B': 'Thời gian cấm xe khách thay đổi vào các ngày lễ, Tết', 'C': 'Thời gian cấm xe khách cố định, không thay đổi theo mùa', 'D': 'Thời gian cấm xe khách chỉ áp dụng vào giờ cao điểm buổi sáng'}",C,train_1_3.jpg
train_4,train_1_20,Biển báo cấm dừng xe và đỗ xe kèm theo biển phụ ghi khoảng cách 300m có ý nghĩa gì? Việc cấm dừng và đỗ xe này áp dụng trong phạm vi nào và có được phép dừng hoặc đỗ xe ngoài phạm vi này không?,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '26'}]",Multiple choice,"{'A': 'A. Cấm dừng và đỗ xe trong phạm vi 300m theo hướng biển báo, không được phép dừng hoặc đỗ xe trong phạm vi này.', 'B': 'B. Cấm dừng xe nhưng được phép đỗ xe trong phạm vi 300m.', 'C': 'C. Cấm đỗ xe nhưng được phép dừng xe trong phạm vi 300m.', 'D': 'D. Biển chỉ mang tính chất cảnh báo, không bắt buộc cấm dừng hoặc đỗ xe trong phạm vi 300m.'}",A,train_1_20.jpg
train_5,train_1_10,Biển hiệu lệnh hình tròn này có ý nghĩa và hiệu lực áp dụng thế nào? ,"[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '32'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '7'}]",Multiple choice,"{'A': 'A. Biển bắt buộc tất cả các phương tiện phải rẽ phải theo hướng chỉ dẫn, không có ngoại lệ.', 'B': 'B. Biển bắt buộc các phương tiện rẽ phải, trừ các xe ưu tiên khi làm nhiệm vụ khẩn cấp.', 'C': 'C. Biển chỉ mang tính chất khuyến cáo, các phương tiện có thể chọn rẽ hoặc đi thẳng.', 'D': 'D. Biển áp dụng cho tất cả phương tiện, trừ xe đạp và người đi bộ.'}",B,train_1_10.jpg
train_6,train_1_18,"Biển báo tam giác báo hiệu điều gì? Theo quy định hiện hành, người tham gia giao thông cần lưu ý những gì khi gặp biển báo này?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '28'}]",Multiple choice,"{'A': 'Báo hiệu trước đoạn đường có phà qua sông; người tham gia giao thông phải chú ý giảm tốc độ và sẵn sàng dừng lại nếu cần.', 'B': 'Cấm tất cả các loại phương tiện qua phà; phải tìm đường khác.', 'C': 'Chỉ áp dụng cho xe ô tô; các loại xe khác không bị ảnh hưởng.', 'D': 'Báo hiệu khu vực có bến phà phục vụ riêng cho người đi bộ.'}",A,train_1_18.jpg
train_7,train_1_18,"Biển báo nguy hiểm hình chiếc ô tô trên phà có ý nghĩa cảnh báo gì về an toàn giao thông? Theo quy chuẩn hiện hành, hành vi nào bị cấm hoặc hạn chế khi lưu thông qua khu vực này?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '28'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '30'}]",Multiple choice,"{'A': 'Cảnh báo đoạn đường có bến phà, cấm dừng và đỗ xe trên đoạn đường dẫn vào bến phà để đảm bảo lưu thông an toàn.', 'B': 'Cảnh báo bến phà, nhưng không có giới hạn nào về dừng hoặc đỗ xe.', 'C': 'Cấm tất cả các phương tiện giao thông qua phà.', 'D': 'Chỉ cảnh báo cho xe tải, không áp dụng cho xe con và xe máy.'}",A,train_1_18.jpg
train_8,train_1_18,"Biển báo nguy hiểm hình chiếc ô tô trên phà báo hiệu đoạn đường có bến phà, và yêu cầu người tham gia giao thông giảm tốc độ, chú ý quan sát.
Đúng hay sai?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '28'}, {'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '30'}]",Yes/No,,Đúng,train_1_18.jpg
train_9,train_1_12,"Biển báo phía trên báo hiệu rằng người tham gia giao thông có thể tiếp tục đi thẳng hoặc rẽ trái tại vị trí này.
Đúng hay sai?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '32'}]",Yes/No,,Đúng,train_1_12.jpg
train_10,train_1_12,"Biển báo có hình mũi tên chỉ thẳng và rẽ trái đồng thời cho phép người tham gia giao thông rẽ phải nếu không có biển báo khác.
Đúng hay sai?","[{'law_id': 'QCVN 41:2024/BGTVT', 'article_id': '32'}]",Yes/No,,Sai,train_1_12.jpg
